Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G
HONTORIA DE CERRATO,86,PALENCIA,34,106,-4.443069,41.911204,380321.1,4640924.28,"41.911204, -4.443069",0,0,0,0.1,0.1591623036649214,0.0004,1,0.0009594287171,1.0
LA SERNA,175,PALENCIA,34,93,-4.664614,42.415194,363038.65,4697218.59,"42.415194, -4.664614",0,0,0,0.19,0.1591623036649214,0.0004,0,0.001923779999,1.0
LA VID DE OJEDA,93,PALENCIA,34,90,-4.38495,42.659136,386492.1,4723893.22,"42.659136, -4.38495",0,0,0,0.25,0.1591623036649214,0.0004,0,0.00120867681,1.0
LANTADILLA,92,PALENCIA,34,273,-4.274928,42.340756,394977.85,4688398.12,"42.340756, -4.274928",0,0,0,0.18,0.1591623036649214,0.0004,1,0.002603690795,1.0
MAGAZ DE PISUERGA,98,PALENCIA,34,1031,-4.426836,41.982451,381799.03,4648812.34,"41.982451, -4.426836",0,0,0,0.09,30.75916230366492,0.0938,1,0.009913882062,1.0
MUDÁ,110,PALENCIA,34,80,-4.394121,42.875967,386138.35,4747983.92,"42.875967, -4.394121",0,0,0,0.94,0.1591623036649214,0.0004,1,0.002964226226,1.0
OLEA DE BOEDO,113,PALENCIA,34,39,-4.448945,42.608643,381151.02,4718374.19,"42.608643, -4.448945",0,0,0,0.24,0.1591623036649214,0.0004,1,0.001151076813,1.0
PÁRAMO DE BOEDO,122,PALENCIA,34,104,-4.396834,42.579462,385372.0,4715062.05,"42.579462, -4.396834",0,0,0,0.23,0.1591623036649214,0.0004,1,0.001203390722,1.0
PAREDES DE NAVA,123,PALENCIA,34,1911,-4.694164,42.152818,360027.53,4668132.62,"42.152818, -4.694164",0,0,0,0.12,2.0591623036649214,0.0062,1,0.003973476504,1.0
PEDRAZA DE CAMPOS,125,PALENCIA,34,72,-4.736645,41.983496,356135.65,4649402.5,"41.983496, -4.736645",0,0,0,0.11,0.1591623036649214,0.0004,1,0.000580799054,0.6553
PEDROSA DE LA VEGA,126,PALENCIA,34,280,-4.74659,42.47994,356441.57,4704543.63,"42.47994, -4.74659",0,0,0,0.21,0.1591623036649214,0.0004,1,0.003668234158,1.0
PINO DEL RÍO,129,PALENCIA,34,163,-4.806071,42.644268,351941.67,4722893.75,"42.644268, -4.806071",0,0,0,0.26,0.1591623036649214,0.0004,1,0.0007920471661,1.0
